from,to,scientific_id,type,code,rank,definition,tree_name
Oysters,Oyster Density and Size Frequency,FUNCTIONAL:OYSTERS,primary,NA,NA,NA,oyster_density
Non-oyster bivalves,Oyster Density and Size Frequency,FUNCTIONAL:NON-OYSTER-BIVALVES,primary,NA,NA,NA,oyster_density
Gastropods,Oyster Density and Size Frequency,urn:lsid:marinespecies.org:taxname:101,primary,NA,NA,NA,oyster_density
Other sessile invertebrates,Oyster Density and Size Frequency,FUNCTIONAL:OYS_DEN_OTHER_SESSILE_INVERTS,primary,NA,NA,NA,oyster_density
Ostreidae,Oysters,urn:lsid:marinespecies.org:taxname:215,NA,NA,Family,NA,oyster_density
Isognomonidae,Oysters,urn:lsid:marinespecies.org:taxname:23060,NA,NA,Family,NA,oyster_density
Nuculidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:204,NA,NA,Family,NA,oyster_density
Nuculanidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:205,NA,NA,Family,NA,oyster_density
Arcidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:208,NA,NA,Family,NA,oyster_density
Mytilidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:211,NA,NA,Family,NA,oyster_density
Pectinidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:213,NA,NA,Family,NA,oyster_density
Anomiidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:214,NA,NA,Family,NA,oyster_density
Lasaeidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:222,NA,NA,Family,NA,oyster_density
Astartidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:228,NA,NA,Family,NA,oyster_density
Cardiidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:229,NA,NA,Family,NA,oyster_density
Tellinidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:235,NA,NA,Family,NA,oyster_density
Donacidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:236,NA,NA,Family,NA,oyster_density
Veneridae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:243,NA,NA,Family,NA,oyster_density
Myidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:247,NA,NA,Family,NA,oyster_density
Hiatellidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:251,NA,NA,Family,NA,oyster_density
Pinnidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:1776,NA,NA,Family,NA,oyster_density
Limidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:1778,NA,NA,Family,NA,oyster_density
Semelidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:1781,NA,NA,Family,NA,oyster_density
Solecurtidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:1784,NA,NA,Family,NA,oyster_density
Solemyidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:22632,NA,NA,Family,NA,oyster_density
Chamidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:23001,NA,NA,Family,NA,oyster_density
Modiolidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:866318,NA,NA,Family,NA,oyster_density
Margaritidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:564652,NA,NA,Family,NA,oyster_density
Dreissenidae,Non-oyster bivalves,urn:lsid:marinespecies.org:taxname:156884,NA,NA,Family,NA,oyster_density
Gastropoda,Gastropods,urn:lsid:marinespecies.org:taxname:101,NA,NA,Class,NA,oyster_density
Porifera,Other sessile invertebrates,urn:lsid:marinespecies.org:taxname:558,NA,NA,Phylum,NA,oyster_density
Cnidaria,Other sessile invertebrates,urn:lsid:marinespecies.org:taxname:1267,NA,NA,Phylum,NA,oyster_density
Bryozoa,Other sessile invertebrates,urn:lsid:marinespecies.org:taxname:146142,NA,NA,Phylum,NA,oyster_density
Cirripedia,Other sessile invertebrates,urn:lsid:marinespecies.org:taxname:1082,NA,NA,Subclass,NA,oyster_density
Tunicata,Other sessile invertebrates,urn:lsid:marinespecies.org:taxname:146420,NA,NA,Subphylum,NA,oyster_density
Polychaeta,Other sessile invertebrates,urn:lsid:marinespecies.org:taxname:883,NA,NA,NA,NA,oyster_density
Crassostreinae,Ostreidae,urn:lsid:marinespecies.org:taxname:510732,NA,NA,Subfamily,NA,oyster_density
Isognomon,Isognomonidae,urn:lsid:marinespecies.org:taxname:138091,NA,NA,Genus,NA,oyster_density
